Threat ID,Threat Name,Domain Code,Domain Name,Init Actor Code,Init Actor Name,Mec 1 Code,Mec 1 Name,Mec 2 Code,Mec 2 Name,Mec 3 Code,Mec 3 Name,Intent Code,Intent Name,Vis Code,Vis Name,Sev Code,Sev Name,Original Description,Analyst Notes
TH-0011,Emotional Incitement (Fear/Stress),DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-105,Psychological Operations,MEC-104,Narrative Manipulation,,,INT-01,Destabilize,VIS-03,Mixed,SEV-5,Severe,تحریک احساسات منفی مردم یک کشور علیه دولتشان با توجه به اینکه درک و تصمیم‌گیری انسان می‌تواند متأثر از احساسات منفی مانند استرس و ترس باشد.,Inciting negative emotions against the government.
TH-0012,Cognitive Vulnerability Exploitation,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-105,Psychological Operations,MEC-109,Influence Campaign,MEC-112,Demoralization,INT-05,Deceive,VIS-02,Covert,SEV-6,Critical,توجه به سازوکارهای پردازشی در مغز مخاطبان؛ به طور مثال مغز مخاطب هر اطلاعاتی را نمی‌پذیرد.,Targeting specific brain processing mechanisms.
TH-0013,Confirmation Bias Reinforcement,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-101,Propaganda,MEC-109,Influence Campaign,MEC-105,Psychological Operations,INT-02,Influence,VIS-01,Overt,SEV-1,Minimal,تأثیرگذاری پروپاگانداها و تبلیغات مثبت از اقدامات یک کشور بیگانه بر افرادی که از قبل طرفدار آن کشور هستند.,Positive propaganda targeting existing supporters.
TH-0014,Youth Generation Targeting,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-109,Influence Campaign,MEC-603,Cultural Influence,,,INT-02,Influence,VIS-03,Mixed,SEV-2,Low,تأثیرگذاری بر افراد با سن کم و نسل جوان,Impacting young age groups.
TH-0015,Information Vacuum Exploitation,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-104,Narrative Manipulation,MEC-102,Disinformation,MEC-108,Information Suppression,INT-05,Deceive,VIS-03,Mixed,SEV-3,Moderate,عدم روشنگری صحیح و تبیین محتوای مطالب و مفاهم و سؤالات ذهنی جوانان,Exploiting lack of proper clarification for youth.
TH-0016,Blame Shifting / Scapegoating,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-104,Narrative Manipulation,MEC-401,Diplomatic Pressure,,,INT-05,Deceive,VIS-01,Overt,SEV-4,High,مقصر جلوه دادن یک کشور در رویدادهایی که اتفاق می‌افتد.,Blaming a country for regional/global events.
TH-0017,Misleading Reporting,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-103,Misinformation,MEC-104,Narrative Manipulation,,,INT-05,Deceive,VIS-03,Mixed,SEV-5,Severe,گزارش‌های گمراه کننده,Publishing misleading reports.
TH-0018,Institutional Influence (Think Tanks),DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-109,Influence Campaign,MEC-403,Institutional Capture,MEC-113,Educational Co-optation,INT-02,Influence,VIS-02,Covert,SEV-6,Critical,تأثیرگذاری بر دانشگاه‌ها، اتاق‌های فکر و رسانه‌ها به دلیل تأثیرگذار بودن آن‌ها در شکل‌دهی افکار عمومی,Influencing universities and think tanks.
TH-0019,Organizational Credibility Subversion,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-102,Disinformation,MEC-104,Narrative Manipulation,,,INT-01,Destabilize,VIS-02,Covert,SEV-1,Minimal,تضعیف اعتبار سازمان‌ها با دروغ‌پراکنی و انتشار اطلاعات نادرست و گمراه کننده,Undermining org credibility via lies/disinformation.
TH-0020,Rebellion Preparation PsyOps,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-105,Psychological Operations,MEC-604,Protest Mobilization,,,INT-01,Destabilize,VIS-03,Mixed,SEV-2,Low,تشدید تبلیغات و پروپاگاندا و آماده‌سازی روانی مردم برای شورش,Intensifying propaganda to prep populace for rebellion.
TH-0021,Intelligence PsyOps,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-105,Psychological Operations,MEC-109,Influence Campaign,MEC-503,Espionage,INT-02,Influence,VIS-02,Covert,SEV-3,Moderate,عملیات روانی توسط سرویس‌های ویژه,Psychological operations by special services.
TH-0022,Political Opinion Manipulation,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-109,Influence Campaign,MEC-104,Narrative Manipulation,,,INT-02,Influence,VIS-03,Mixed,SEV-4,High,تحت تأثیر قرار دادن افکار عمومی در مورد مسائل کلیدی سیاسی,Influencing public opinion on key political issues.
TH-0023,Cognitive Military Research Investment,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-113,Educational Co-optation,MEC-105,Psychological Operations,,,INT-10,Exploit,VIS-02,Covert,SEV-5,Severe,سرمایه‌گذاری سازمان‌های تحقیقاتی نظامی کشورهای متخاصم در حوزه علوم و فناوری‌های شناختی,Hostile military research orgs investing in cognitive tech.
TH-0024,Big Data Cognitive Profiling,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-207,Data Harvesting & Microtargeting,MEC-105,Psychological Operations,,,INT-08,Steal,VIS-02,Covert,SEV-6,Critical,شناسایی روندهای شناختی جامعه هدف با استفاده از کلان‌داده‌ها,Identifying cognitive trends of target society using big data.
TH-0025,Narrative Warfare,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-104,Narrative Manipulation,MEC-109,Influence Campaign,,,INT-02,Influence,VIS-03,Mixed,SEV-1,Minimal,جنگ روایت‌ها و تأثیرگذاری بر ادراک افراد,War of narratives and influencing people's perception.
TH-0026,Historical / Linguistic Demoralization,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-112,Demoralization,MEC-603,Cultural Influence,,,INT-01,Destabilize,VIS-03,Mixed,SEV-2,Low,کم‌اهمیت جلوه دادن زبان و فرهنگ یک کشور و تحریف تاریخ آن,Downplaying a country's language/culture and distorting its history.
TH-0027,Cultural Security Policy Sabotage,DOM-01,Information & Cognitive,ACT-01,خودی,MEC-309,Policy Sabotage,MEC-603,Cultural Influence,,,INT-11,Exhaust,VIS-01,Overt,SEV-3,Moderate,بی‌توجهی به امنیت فرهنگی و فقدان سیاست فرهنگی مناسب و به تبع آن افزایش توزیع محصولات فرهنگی یک کشور متخاصم در بازار کشور هدف,Neglecting cultural security leading to hostile cultural product influx.
TH-0028,Foreign Cultural Product Preference,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-603,Cultural Influence,MEC-109,Influence Campaign,,,INT-02,Influence,VIS-01,Overt,SEV-4,High,ترجیح محصولات فرهنگی سایر کشورها بر کالاهای فرهنگی داخلی یک کشور,Promotion/preference of other countries' cultural products.
TH-0029,Cultural Industry Neglect,DOM-01,Information & Cognitive,ACT-01,خودی,MEC-309,Policy Sabotage,MEC-108,Information Suppression,MEC-603,Cultural Influence,INT-11,Exhaust,VIS-01,Overt,SEV-5,Severe,عدم توسعه صنایع فرهنگی محلی و توانمندسازی هنرمندان به دلایل مختلف از جمله فقدان مشارکت دولتی و خصوصی و قوانین دست و پاگیر,Lack of local cultural industry development due to bad laws/neglect.
TH-0030,National Hero Suppression,DOM-01,Information & Cognitive,ACT-01,خودی,MEC-108,Information Suppression,MEC-112,Demoralization,,,INT-04,Divide,VIS-01,Overt,SEV-6,Critical,عدم معرفی و شناساندن قهرمانان ملی به شکلی مناسب و درخور,Failure to properly introduce national heroes.
TH-0031,Hostile Media Saturation,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-101,Propaganda,MEC-603,Cultural Influence,MEC-108,Information Suppression,INT-02,Influence,VIS-01,Overt,SEV-1,Minimal,افزایش محتوای مورد نظر دشمن در رسانه‌ها و فضای فرهنگی کشور هدف به عنوان مصداقی از تهاجم فرهنگی,Increase in enemy-desired content in media/culture.
TH-0032,Cultural Financial Starvation,DOM-01,Information & Cognitive,ACT-01,خودی,MEC-309,Policy Sabotage,MEC-404,Legal Manipulation,,,INT-11,Exhaust,VIS-01,Overt,SEV-2,Low,عدم حمایت مالی مناسب در حوزه فرهنگ,Lack of appropriate financial support in the cultural sector.
TH-0033,Cultural Diplomacy Vacuum,DOM-01,Information & Cognitive,ACT-01,خودی,MEC-401,Diplomatic Pressure,MEC-309,Policy Sabotage,,,INT-12,Isolate,VIS-01,Overt,SEV-3,Moderate,عدم وجود دیپلماسی فرهنگی,Lack of cultural diplomacy.
TH-0034,Hostile Print & AV Propaganda,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-101,Propaganda,MEC-603,Cultural Influence,MEC-110,Rumor Propagation,INT-02,Influence,VIS-01,Overt,SEV-4,High,محصولات تبلیغاتی، سمعی بصری و چاپی دشمن,"Enemy's advertising, audio-visual, and printed products."
TH-0035,Hostile Leadership Glorification (Media),DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-101,Propaganda,MEC-104,Narrative Manipulation,MEC-602,Identity Manipulation,INT-02,Influence,VIS-01,Overt,SEV-5,Severe,فیلم‌ها و سریال‌هایی که مقامات فعلی و قبلی یک دولت متخاصم را با شخصیت و کاراکتری مثبت معرفی کنند.,Movies/series portraying hostile state officials positively.
TH-0036,Hostile Agency Glorification (Media),DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-101,Propaganda,MEC-104,Narrative Manipulation,MEC-403,Institutional Capture,INT-02,Influence,VIS-01,Overt,SEV-6,Critical,مثبت جلوه دادن فعالیت ارگان‌های دولت‌های متخاصم در داستان فیلم‌ها و سریال‌ها,Portraying hostile state organs positively in movies/series.
TH-0037,Historical/Religious Distortion in Local Language,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-104,Narrative Manipulation,MEC-112,Demoralization,MEC-602,Identity Manipulation,INT-05,Deceive,VIS-01,Overt,SEV-1,Minimal,ساختن فیلم و سریال‌هایی با زبان کشور هدف به طوری که وقایع مذهبی و تاریخی آن توسط سایر کشورها تحریف شده است,Making movies in target language distorting religious/historical events.
TH-0038,Sectarian/Racial Supremacy Promotion,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-601,Social Polarization,MEC-602,Identity Manipulation,,,INT-04,Divide,VIS-03,Mixed,SEV-2,Low,ترویج انحصار، برتری، حقارت افراد به دلیل اعتقادات مذهبی، ملیتی یا نژادی یا جایگاه اجتماعی,Promoting exclusivity based on religion/nationality/race.
TH-0039,Cultural Regulatory Failure,DOM-01,Information & Cognitive,ACT-01,خودی,MEC-404,Legal Manipulation,MEC-309,Policy Sabotage,,,INT-11,Exhaust,VIS-01,Overt,SEV-3,Moderate,عدم وجود مقررات و مجازات مالی و اداری برای رعایت نکردن قوانین مصوب در محصولات فرهنگی,Lack of penalties for violating cultural product laws.
TH-0040,Linguistic Policy Neglect,DOM-01,Information & Cognitive,ACT-01,خودی,MEC-309,Policy Sabotage,MEC-108,Information Suppression,MEC-602,Identity Manipulation,INT-11,Exhaust,VIS-01,Overt,SEV-4,High,عدم وجود قوانین برای احیای زبان یک کشور در فضای عمومی,Lack of laws for reviving a country's language in public space.
TH-0041,Cultural Product Deficit,DOM-01,Information & Cognitive,ACT-01,خودی,MEC-309,Policy Sabotage,,,,,INT-11,Exhaust,VIS-01,Overt,SEV-5,Severe,کاهش محصولات و تولیدات فرهنگی مناسب,Decrease in appropriate cultural products/productions.
TH-0042,Cultural Good Inaccessibility (Rural),DOM-01,Information & Cognitive,ACT-01,خودی,MEC-309,Policy Sabotage,MEC-304,Resource Denial,,,INT-11,Exhaust,VIS-01,Overt,SEV-6,Critical,غیرقابل دسترس بودن کالاها و محصولات فرهنگی به ویژه در شهرهای کوچک و روستاها,"Inaccessibility of cultural goods, especially in rural areas."
TH-0043,Cultural Program Boycott/Apathy,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-109,Influence Campaign,MEC-112,Demoralization,,,INT-04,Divide,VIS-01,Overt,SEV-1,Minimal,عدم حمایت مناسب برنامه‌ها و محصولات فرهنگی توسط عموم مردم,Lack of public support for cultural programs/products.
TH-0044,Economic Sanctions & Blockade,DOM-02,Economic,ACT-03,دشمن,MEC-301,Economic Sanctions,MEC-306,Trade Restriction,MEC-304,Resource Denial,INT-11,Exhaust,VIS-01,Overt,SEV-2,Low,محاصره و تحریم‌های اقتصادی,Economic blockade and sanctions.
TH-0045,Trade Dependency Exploitation,DOM-02,Economic,ACT-03,دشمن,MEC-304,Resource Denial,MEC-306,Trade Restriction,,,INT-03,Control,VIS-03,Mixed,SEV-3,Moderate,استفاده از طیف وسیعی از ابزارهای اقتصادی برای بهره‌گیری از وابستگی‌های متقابل؛ به طور مثال بهره‌گیری از وابستگی به تجارت,"Using economic tools to exploit interdependencies (e.g., trade dependency)."
TH-0046,Executive Economic Policy Sabotage,DOM-02,Economic,ACT-01,خودی,MEC-309,Policy Sabotage,,,,,INT-11,Exhaust,VIS-01,Overt,SEV-4,High,عدم سیاست‌های اجرایی اقتصاد,Lack of executive economic policies.
TH-0047,Economic Inequality Exacerbation,DOM-02,Economic,ACT-03,دشمن,MEC-302,Market Manipulation,MEC-109,Influence Campaign,,,INT-04,Divide,VIS-03,Mixed,SEV-5,Severe,ایجاد و تشدید اختلافات اقتصادی,Creating and exacerbating economic disputes/inequality.
TH-0048,Financial Blacklisting (e.g. FATF),DOM-02,Economic,ACT-03,دشمن,MEC-406,International Forum Manipulation,MEC-301,Economic Sanctions,,,INT-12,Isolate,VIS-01,Overt,SEV-6,Critical,قرار دادن نام کشورها در لیست‌های سیاه مختلف مانند FATF,Blacklisting countries in FATF etc.
TH-0049,Coercive Economic Agreements,DOM-02,Economic,ACT-03,دشمن,MEC-305,Investment Influence,MEC-401,Diplomatic Pressure,MEC-305,Investment Influence,INT-03,Control,VIS-01,Overt,SEV-1,Minimal,توافق‌های اقتصادی ویژه,Special economic agreements (coercive/exploitative).
TH-0050,Political Debt Trapping,DOM-02,Economic,ACT-03,دشمن,MEC-305,Investment Influence,MEC-401,Diplomatic Pressure,MEC-309,Policy Sabotage,INT-03,Control,VIS-01,Overt,SEV-2,Low,افزایش بار بدهی‌های کشورهای هدف با اهداف سیاسی,Increasing debt burden of target countries for political goals.
TH-0051,Economic Corruption Facilitation,DOM-02,Economic,ACT-03,دشمن,MEC-308,Subversion Funding,MEC-403,Institutional Capture,,,INT-01,Destabilize,VIS-02,Covert,SEV-3,Moderate,تسهیل فساد اقتصادی,Facilitating economic corruption.
TH-0052,Energy Price Destabilization,DOM-02,Economic,ACT-03,دشمن,MEC-302,Market Manipulation,MEC-304,Resource Denial,,,INT-01,Destabilize,VIS-03,Mixed,SEV-4,High,بی‌ثبات کردن قیمت انرژی,Destabilizing energy prices.
TH-0053,Hostile Foreign Investment,DOM-02,Economic,ACT-03,دشمن,MEC-305,Investment Influence,MEC-307,Strategic Asset Acquisition,,,INT-03,Control,VIS-02,Covert,SEV-5,Severe,سرمایه‌گذاری خارجی خصمانه,Hostile foreign investment.
TH-0054,Critical Infrastructure Investment Capture,DOM-02,Economic,ACT-03,دشمن,MEC-307,Strategic Asset Acquisition,MEC-305,Investment Influence,,,INT-03,Control,VIS-02,Covert,SEV-6,Critical,سرمایه‌گذاری خارجی در زیرساخت‌های حیاتی,Foreign investment in critical infrastructure.
TH-0055,Foreign Investment Industrial Subversion,DOM-02,Economic,ACT-04,نامعلوم,MEC-305,Investment Influence,MEC-302,Market Manipulation,,,INT-11,Exhaust,VIS-03,Mixed,SEV-1,Minimal,تأثیرپذیری منفی صنایع از سرمایه‌گذاری‌های شرکت‌های خارجی,Negative impact on industries from foreign company investments.
TH-0056,Energy Security Sabotage,DOM-06,Infrastructure & Technology,ACT-03,دشمن,MEC-502,Sabotage,MEC-304,Resource Denial,MEC-304,Resource Denial,INT-09,Destroy,VIS-02,Covert,SEV-2,Low,اقدام علیه امنیت منابع انرژی,Action against energy resource security.
TH-0057,State-Sponsored Money Laundering,DOM-02,Economic,ACT-03,دشمن,MEC-308,Subversion Funding,MEC-404,Legal Manipulation,,,INT-10,Exploit,VIS-02,Covert,SEV-3,Moderate,پولشویی,Money laundering.
TH-0058,Targeted Subversion Financing,DOM-02,Economic,ACT-03,دشمن,MEC-308,Subversion Funding,MEC-109,Influence Campaign,,,INT-02,Influence,VIS-02,Covert,SEV-4,High,حمایت‌های مالی (در قالب وام و غیره) از اشخاص خاص,"Financial support (loans, etc.) to specific individuals."
TH-0059,Cultural/Sports Organization Financing,DOM-02,Economic,ACT-03,دشمن,MEC-308,Subversion Funding,MEC-603,Cultural Influence,,,INT-02,Influence,VIS-02,Covert,SEV-5,Severe,تأمین مالی سازمان‌های ورزشی و (ضد) فرهنگی,Financing sports and (anti)cultural organizations.
TH-0060,Corruption Discourse Amplification,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-104,Narrative Manipulation,MEC-102,Disinformation,,,INT-01,Destabilize,VIS-03,Mixed,SEV-6,Critical,برجسته‌سازی گفتمان فساد اقتصادی در ارکان حکومت,Highlighting the discourse of economic corruption in government pillars.
TH-0061,Strategic Asset Acquisition (Real Estate),DOM-02,Economic,ACT-03,دشمن,MEC-307,Strategic Asset Acquisition,MEC-502,Sabotage,,,INT-03,Control,VIS-02,Covert,SEV-1,Minimal,مالکیت خصوصی دارایی‌هایی با اهمیت استراتژیک بالقوه...,Private ownership of assets with potential strategic importance (e.g. buying islands for dual-use).
TH-0062,Debt Trap Diplomacy,DOM-02,Economic,ACT-03,دشمن,MEC-305,Investment Influence,MEC-401,Diplomatic Pressure,MEC-307,Strategic Asset Acquisition,INT-03,Control,VIS-01,Overt,SEV-2,Low,دیپلماسی تله بدهی...,Debt trap diplomacy via massive loans for mega-projects.
TH-0063,Economic Co-optation for Political Leverage,DOM-02,Economic,ACT-03,دشمن,MEC-305,Investment Influence,MEC-406,International Forum Manipulation,,,INT-03,Control,VIS-01,Overt,SEV-3,Moderate,ایجاد روابط به منظور توسعه اقتصادی و همکاری در مورد منافع مشترک...,Building economic relations to influence political decisions in international bodies.
TH-0064,Media Corporate Buyout,DOM-02,Economic,ACT-03,دشمن,MEC-307,Strategic Asset Acquisition,MEC-109,Influence Campaign,,,INT-03,Control,VIS-02,Covert,SEV-4,High,سرمایه‌گذاری در شرکت‌های رسانه‌ای به منظور ارائه محتوای مورد نظر یک کشور,Investing in media companies to control content narrative.
TH-0065,Foreign Direct Investment Withdrawal,DOM-02,Economic,ACT-03,دشمن,MEC-301,Economic Sanctions,MEC-304,Resource Denial,,,INT-11,Exhaust,VIS-01,Overt,SEV-5,Severe,کاهش سرمایه‌گذاری خارجی,Reduction/withdrawal of foreign investment.
TH-0066,Investment Risk Amplification,DOM-02,Economic,ACT-03,دشمن,MEC-302,Market Manipulation,MEC-105,Psychological Operations,,,INT-12,Isolate,VIS-03,Mixed,SEV-6,Critical,افزایش خطر سرمایه‌گذاری,Increasing perceived investment risk.
TH-0067,Economic Turmoil Exposure,DOM-02,Economic,ACT-03,دشمن,MEC-104,Narrative Manipulation,MEC-309,Policy Sabotage,,,INT-01,Destabilize,VIS-01,Overt,SEV-1,Minimal,آشکارسازی نابسامانی‌های اقتصادی,Exposing/amplifying economic disorganization.
TH-0068,Basic Goods Inflation Engineering,DOM-02,Economic,ACT-03,دشمن,MEC-302,Market Manipulation,MEC-304,Resource Denial,,,INT-11,Exhaust,VIS-02,Covert,SEV-2,Low,تورم در کالاهای اساسی و کاهش قدرت خرید مردم,Inflation in basic goods and reducing purchasing power.
TH-0069,Currency Devaluation Operations,DOM-02,Economic,ACT-03,دشمن,MEC-303,Currency Manipulation,MEC-302,Market Manipulation,,,INT-01,Destabilize,VIS-02,Covert,SEV-3,Moderate,تغییرات شدید ارزی و بی‌ارزش شدن پول ملی,Severe currency fluctuations and devaluation of national currency.
TH-0070,Media/Government Cyber Hack,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-201,Cyber Intrusion,MEC-204,Denial of Service,,,INT-05,Deceive,VIS-01,Overt,SEV-4,High,حملات سایبری مانند هک کردن رسانه‌های مهم...,Cyber attacks/hacks on media and government websites.
TH-0071,Social Media Fake News Dissemination,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-102,Disinformation,MEC-104,Narrative Manipulation,MEC-110,Rumor Propagation,INT-05,Deceive,VIS-02,Covert,SEV-5,Severe,انتشار اطلاعات نادرست، دروغ‌پراکنی...,"Spreading misinformation, lies, misleading messages on social media."
TH-0072,Propaganda Campaign,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-101,Propaganda,MEC-109,Influence Campaign,,,INT-02,Influence,VIS-01,Overt,SEV-6,Critical,پروپاگاندا و تبلیغات,Propaganda and advertising.
TH-0073,Bot-Driven Polarization,DOM-01,Information & Cognitive,ACT-04,نامعلوم,MEC-109,Influence Campaign,MEC-601,Social Polarization,MEC-102,Disinformation,INT-04,Divide,VIS-02,Covert,SEV-1,Minimal,دوقطبی کردن بحث‌ها از طریق اکانت‌های جعلی و بات‌ها,Polarizing discussions via fake accounts and bots.
TH-0074,International Media Distraction,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-104,Narrative Manipulation,MEC-108,Information Suppression,,,INT-05,Deceive,VIS-01,Overt,SEV-2,Low,پرت کردن حواس رسانه‌های بین‌المللی از اقدامات خرابکارانه,Distracting international media from sabotage actions.
TH-0075,Biased / Selective Reporting,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-104,Narrative Manipulation,MEC-103,Misinformation,,,INT-02,Influence,VIS-01,Overt,SEV-3,Moderate,اطلاع‌رسانی مغرضانه و ارائه گزینشی اطلاعات,Biased and selective information provision.
TH-0076,Prominent Figure Character Assassination,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-111,Character Assassination,MEC-102,Disinformation,,,INT-01,Destabilize,VIS-02,Covert,SEV-4,High,بی‌اعتبار کردن افراد برجسته با اعلام خبرهایی در رسانه‌ها,Discrediting prominent figures via media announcements.
TH-0077,Unverified Rumor Propagation,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-110,Rumor Propagation,MEC-103,Misinformation,,,INT-05,Deceive,VIS-01,Overt,SEV-5,Severe,انتشار مطالب در رسانه‌ها و روزنامه‌ها بدون توجه به منبع مطالب,Publishing unverified material in media without checking sources.
TH-0078,False Victimhood Narrative (Media),DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-104,Narrative Manipulation,MEC-102,Disinformation,MEC-112,Demoralization,INT-05,Deceive,VIS-01,Overt,SEV-6,Critical,وانمود به قربانی شدن توسط یک رسانه (رسانه رقیب),Pretending to be a victim by a rival media outlet.
TH-0079,Destructive Online Social Campaigns,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-109,Influence Campaign,MEC-601,Social Polarization,,,INT-01,Destabilize,VIS-02,Covert,SEV-1,Minimal,پویش‌های اجتماعی مخرب شکل‌گرفته در فضای مجازی,Destructive social campaigns formed in cyberspace.
TH-0080,Nationalist Agitation,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-104,Narrative Manipulation,MEC-602,Identity Manipulation,,,INT-01,Destabilize,VIS-01,Overt,SEV-2,Low,ارائه روایات ناسیونالیستی برای تحریک مردم,Presenting nationalist narratives to incite people.
TH-0081,Cyber Espionage,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-203,Data Exfiltration,MEC-503,Espionage,,,INT-08,Steal,VIS-02,Covert,SEV-3,Moderate,جاسوسی سایبری,Cyber espionage.
TH-0082,Future Demoralization Propaganda,DOM-01,Information & Cognitive,ACT-03,دشمن,MEC-112,Demoralization,MEC-101,Propaganda,,,INT-11,Exhaust,VIS-01,Overt,SEV-4,High,سیاست تبلیغاتی و رسانه‌ای دشمن در مأیوس‌سازی مردم...,Enemy media policy to induce despair about the future.
